Date,Open,High,Low,Close,Volume
2024-01-02,100.0,101.2,99.4,100.8,1200000
2024-01-03,100.9,101.5,100.1,101.1,1185000
2024-01-04,101.0,101.8,100.2,100.5,1221000
2024-01-05,100.6,101.0,99.9,100.2,1178000
2024-01-08,100.1,100.9,99.8,100.7,1216000
2024-01-09,100.8,101.7,100.4,101.4,1242000
2024-01-10,101.5,102.3,100.7,101.9,1264000
2024-01-11,101.8,102.0,100.9,101.2,1197000
2024-01-12,101.0,101.4,100.5,100.9,1169000
2024-01-15,101.1,102.0,100.8,101.8,1275000
2024-01-16,101.9,102.8,101.3,102.4,1292000
2024-01-17,102.5,103.1,101.8,102.0,1234000
2024-01-18,101.9,102.6,101.2,101.5,1218000
2024-01-19,101.4,102.2,100.9,101.9,1182000
2024-01-22,102.0,102.9,101.5,102.6,1301000
2024-01-23,102.7,103.4,102.1,103.0,1326000
2024-01-24,103.1,103.6,102.3,102.7,1254000
2024-01-25,102.8,103.1,101.9,102.0,1213000
2024-01-26,101.9,102.4,101.3,101.7,1198000
2024-01-29,101.8,102.9,101.5,102.5,1332000
2024-01-30,102.4,103.5,102.0,103.2,1361000
2024-01-31,103.3,104.0,102.7,103.8,1384000
2024-02-01,103.9,104.2,103.0,103.1,1317000
2024-02-02,103.0,103.7,102.4,103.4,1288000
2024-02-05,103.3,104.4,102.9,104.1,1402000
2024-02-06,104.0,104.9,103.6,104.6,1429000
2024-02-07,104.7,105.0,103.8,104.0,1341000
2024-02-08,104.1,104.5,103.2,103.6,1295000
2024-02-09,103.5,104.6,103.1,104.3,1376000
2024-02-12,104.2,105.1,103.7,104.9,1418000
2024-02-13,105.0,105.6,104.2,105.3,1443000
2024-02-14,105.4,105.9,104.6,104.8,1367000
2024-02-15,104.7,105.2,104.0,104.4,1324000
2024-02-16,104.5,105.5,104.1,105.1,1459000
2024-02-19,105.0,106.2,104.8,105.9,1481000
2024-02-20,106.0,106.6,105.1,105.4,1406000
2024-02-21,105.5,106.0,104.8,105.0,1352000
2024-02-22,104.9,105.8,104.5,105.6,1424000
2024-02-23,105.7,106.4,105.0,106.1,1462000
2024-02-26,106.0,106.9,105.5,106.5,1497000
2024-02-27,106.4,107.0,105.8,106.0,1411000
2024-02-28,106.1,106.5,105.2,105.4,1370000
2024-02-29,105.5,106.8,105.1,106.2,1503000
2024-03-01,106.1,107.2,105.9,106.8,1538000
2024-03-04,106.9,107.5,106.0,106.3,1452000
2024-03-05,106.2,106.8,105.6,105.9,1394000
2024-03-06,106.0,107.1,105.7,106.7,1516000
2024-03-07,106.8,107.6,106.2,107.1,1544000
2024-03-08,107.0,107.9,106.6,107.5,1562000
2024-03-11,107.6,108.3,106.9,107.0,1487000
