variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dqn_returns_account,DQN,7,#4E79A7,0.0,0.0,0.0,0.2429502227410459,0.9079275104058045,14.412902406046603,0.0,-0.2162181525239061,251.0,0.9994003597841296,0.0,0.0,0.004789377292386825,1.0,1.0,1.0,1.0,20.0,0.0,252.0
dqn_returns_account,DQN,21,#4E79A7,-6.240000092983246,-3.200000047683716,7.079929483678022,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
dqn_returns_account,DQN,42,#4E79A7,48.0,75.0,108.67842472174502,-0.0011999696888931044,-0.09794971048347381,-1.5549034495802876,0.8,-0.007101784026474401,251.0,0.998799669810453,0.0,0.0,0.13705179282868524,0.003985374531316093,0.49822858500323786,1.0,0.0,20.0,0.0,252.0
ddqn_returns_account,DDQN,7,#F28E2B,30.744999981299042,25.0,33.96682907026662,0.1269081346387686,0.6286393825903767,9.979340824051944,0.7,-0.19142822485896624,20.983386752136752,41.64128394068572,0.0,0.05,0.8279646115845422,0.7960056548813853,0.95,1.0,0.3908366533864541,20.0,0.0,252.0
ddqn_returns_account,DDQN,21,#F28E2B,0.0,0.0,0.0,0.2438754160961333,0.9132530650135339,14.497442964559879,0.0,-0.21551184079387867,251.0,0.9994003597841296,0.0,0.0,0.14143426294820713,0.9960160138281822,1.0,1.0,0.9237051792828683,20.0,0.0,252.0
ddqn_returns_account,DDQN,42,#F28E2B,51.0,80.0,111.79892664958818,-0.0023999393901477485,-0.09794971098297421,-1.5549034575096106,0.8,-0.014192339833853823,251.0,1.9975993396952578,0.0,0.0,0.14103585657370515,0.007990019362007574,1.0,1.0,0.003984063745019919,20.0,0.0,252.0
dueling_ddqn_returns_account,Duel DDQN,7,#59A14F,1.75,0.0,5.3091901453988255,0.24279500897339434,0.9327164746616249,14.806415014125223,0.1,-0.2023085473486093,251.0,1.2573349922215677,0.0,0.0,0.5053571428571428,0.9403576042184563,1.0,1.0,0.9017928286852589,20.0,0.0,252.0
dueling_ddqn_returns_account,Duel DDQN,21,#59A14F,-0.360000005364418,-0.30000000447034836,0.2653299871821569,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
dueling_ddqn_returns_account,Duel DDQN,42,#59A14F,48.0,75.0,108.67842472174502,-0.0011999696888931044,-0.09794971048347381,-1.5549034495802876,0.8,-0.007101784026474401,251.0,0.998799669810453,0.0,0.0,0.13705179282868524,0.003985374531316093,0.49822858500323786,1.0,0.0,20.0,0.0,252.0
d3qn_per_nstep_returns_account,D3QN (+PER+3-step),7,#FF9D9A,0.0,0.0,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
d3qn_per_nstep_returns_account,D3QN (+PER+3-step),21,#FF9D9A,-6.795000172033906,-9.650000181049109,7.714757043405194,0.12269131637068353,0.9273989687182559,14.722002224197649,0.15,-0.15359139664755694,69.30833333333334,3.6540204082208865,0.0,0.5203706096400393,0.29990810619702296,0.5258512444586225,0.9873174123832692,1.0,0.39262948207171317,20.0,0.0,252.0
d3qn_per_nstep_returns_account,D3QN (+PER+3-step),42,#FF9D9A,0.0,0.0,0.0,0.2429502227410459,0.9079275104058045,14.412902406046603,0.0,-0.2162181525239061,251.0,0.9994003597841296,0.0,0.0,0.003984063745019919,1.0,1.0,1.0,1.0,20.0,0.0,252.0
d3qn_per_nstep_noisy_returns_account,D3QN+Noisy,7,#A0CBE8,0.0,0.0,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
d3qn_per_nstep_noisy_returns_account,D3QN+Noisy,21,#A0CBE8,0.0,0.0,0.0,0.2429502227410459,0.9079275104058045,14.412902406046603,0.0,-0.2162181525239061,251.0,0.9994003597841296,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0,0.0,252.0
d3qn_per_nstep_noisy_returns_account,D3QN+Noisy,42,#A0CBE8,0.0,0.0,0.0,0.2429502227410459,0.9079275104058045,14.412902406046603,0.0,-0.2162181525239061,251.0,0.9994003597841296,0.0,0.0,0.0136986301369863,1.0,1.0,1.0,1.0,20.0,0.0,252.0
