variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dueling_ddqn,Dueling DDQN,7,#59A14F,356.59499997533857,329.8999999985099,161.22830233801173,0.10960370762021683,0.8397522156004699,13.330653152366027,1.0,-0.14540452469986279,234.45,25.39388899047984,0.0,0.06593625498007968,0.4651394422310756,0.5165287635688642,1.0,1.0,0.46274900398406366,20.0,0.0,252.0
dueling_ddqn,Dueling DDQN,21,#59A14F,0.0,0.0,0.0,0.2438754160889633,0.9132530650041228,14.497442964410483,0.0,-0.2155118407864749,251.0,0.9994003597208669,0.0,0.0,0.1376494023904382,0.9960160137892231,0.9999999999531177,1.0,0.9237051792828683,20.0,0.0,252.0
dueling_ddqn,Dueling DDQN,42,#59A14F,50.26999969854951,25.049999739974737,85.4759621581224,0.044954345762238265,0.7635192939959243,12.120493038676965,0.65,-0.06334725407509083,3.7099852572607994,14.369088714017526,0.0,0.8059760956175298,0.1940239043824701,0.09008110460383992,0.9229198086237236,1.0,0.0,20.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,7,#E15759,0.0,0.0,0.0,0.2429502227410459,0.9079275104058045,14.412902406046603,0.0,-0.2162181525239061,251.0,0.9994003597841296,0.0,0.0,0.003984063745019919,1.0,1.0,1.0,1.0,20.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,21,#E15759,1.0,0.0,4.358898943540674,0.17445151072449921,0.7710073149987103,12.239361686989367,0.05,-0.21414128374529798,224.45,1.1177020196916085,0.0,0.0,0.05282998581219125,0.8930332314505337,1.0,1.0,0.8868525896414343,20.0,0.0,252.0
d3qn_per_nstep,D3QN + PER + 3-step,42,#E15759,-15.365000307187438,-25.100000374019146,73.32886390126369,0.003287539172863496,0.3288341110435198,5.22007968249691,0.15,-0.0027172942295838774,44.85,0.5433615485008104,0.0,0.8213147410358566,0.049003984063745024,0.0022013252576562658,0.15642725880157032,1.0,0.0,20.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",7,#F28E2B,0.0,0.0,0.0,0.14848497577615458,0.564707151161388,8.964448113316754,0.0,-0.09260322158486078,110.5,0.5465470717373127,0.0,0.0,0.18743696542501323,0.43800599720552125,0.5469485888544505,1.0,0.399402390438247,20.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",21,#F28E2B,0.0,0.0,0.0,0.24374901762765572,0.9115756202662252,14.470814354723297,0.0,-0.21551190008536403,251.0,0.9994003597274113,0.0,0.0,0.08725099601593625,0.9972108561189191,0.9999999999579561,1.0,0.9494023904382469,20.0,0.0,252.0
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",42,#F28E2B,34.84999971464276,-25.100000374019146,130.65621887762904,0.03325158279061362,0.47422035039408733,7.528014682731997,0.25,-0.03717828752969642,59.5,3.7891797847828754,0.0,0.7629482071713147,0.11693227091633465,0.1729056259089951,0.25,1.0,0.1249003984063745,20.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",7,#4E79A7,0.0,0.0,0.0,0.20439101894058215,0.7567351969008244,12.012798835974463,0.0,-0.16071648031807767,195.5,0.7995202878163962,0.0,0.0,0.11684061596460682,0.7763078933140377,0.7999999999909793,1.0,0.7039840637450199,20.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",21,#4E79A7,0.0,0.0,0.0,0.13134617365154633,0.6013805104334025,9.546619643567205,0.0,-0.054715872854930424,80.65,0.3497901259244453,0.0,0.0,0.0022757720882504674,0.32131474103585655,0.35,1.0,0.3213147410358566,20.0,0.0,252.0
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",42,#4E79A7,120.77999984398484,132.54999992623925,124.03721865970736,0.023239705900330122,0.4971846146028557,7.892561075559892,0.7,-0.049889443493771515,137.7,5.759099042155733,0.0,0.4671889588287653,0.2965513222017123,0.10955285337398786,0.6845653813880654,1.0,0.0749003984063745,20.0,0.0,252.0
