variant,label,episode,mean_reward_return
dueling_ddqn,Dueling DDQN,1,-22.26666675011317
dueling_ddqn,Dueling DDQN,2,-3.233333431184292
dueling_ddqn,Dueling DDQN,3,57.59999991456667
dueling_ddqn,Dueling DDQN,4,95.23333328713973
dueling_ddqn,Dueling DDQN,5,53.83333324144284
dueling_ddqn,Dueling DDQN,6,-3.366666741669178
dueling_ddqn,Dueling DDQN,7,117.83333325137694
dueling_ddqn,Dueling DDQN,8,57.899999943872295
dueling_ddqn,Dueling DDQN,9,164.19999993840852
dueling_ddqn,Dueling DDQN,10,92.86666658520699
dueling_ddqn,Dueling DDQN,11,152.99999992052713
dueling_ddqn,Dueling DDQN,12,178.96666662643352
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",1,-38.36666666716337
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",2,21.666666666666668
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",3,4.966666666169961
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",4,61.56666666517655
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",5,108.26666666567326
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",6,85.99999999006589
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",7,90.89999998857577
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",8,68.69999998062849
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",9,36.066666657725975
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",10,59.033333318928875
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",11,84.46666665871939
dueling_noisy_full_sigma03_lr25,"Noisy Full (sigma=0.3, lr=0.00025)",12,93.19999999801318
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",1,-13.633333337803682
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",2,-10.166666669150194
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",3,8.066666662693024
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",4,19.633333327869575
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",5,8.266666665673256
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",6,21.166666659216087
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",7,12.866666659712791
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",8,62.799999992052726
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",9,89.7999999721845
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",10,26.09999994188547
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",11,-2.7000000899036727
dueling_noisy_full_sigma05,"Noisy Full (sigma=0.5, lr=0.0005)",12,23.333333283662796
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",1,-3.0000000198682124
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",2,-12.10000000645717
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",3,21.433333329856392
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",4,-0.46666667362054187
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",5,5.666666626930237
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",6,12.99999994536241
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",7,-27.23333339144786
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",8,-16.46666671335697
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",9,-13.033333378533522
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",10,25.933333297570545
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",11,39.63333327819904
dueling_noisy_full_sigma05_lr25,"Noisy Full (sigma=0.5, lr=0.00025)",12,-24.40000006556511
