variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dueling_ddqn,Dueling DDQN,7,#59A14F,191.29166666107872,167.5,102.6465737269068,0.11325262819536762,0.7718249013746148,12.252340468345112,1.0,-0.17734593342007943,243.33333333333334,15.417066226049604,0.0,0.024279924003910297,0.964344863771981,0.6070803258646383,0.9999998298046117,1.0,0.06374501992031871,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,21,#59A14F,0.0,0.0,0.0,0.18786062115701277,1.0733599278603745,17.039060618284683,0.0,-0.19907717997820995,216.33333333333334,0.9161169963924337,0.0,0.0,0.15004295588209926,0.8572731644144979,0.9166666666103378,1.0,0.7868525896414341,12.0,0.0,252.0
dueling_ddqn,Dueling DDQN,42,#59A14F,206.7666665005187,203.29999990016222,175.79948026166954,0.010253968431269966,0.16050036082299243,2.5478642404426326,0.75,-0.06910414035685157,124.61111111111113,5.871879182225549,0.0,0.47551325115511284,0.3155866050218117,0.07137130881986088,0.7440686700561869,1.0,0.0099601593625498,12.0,0.0,252.0
dueling_noisy_full_sigma05,Noisy Full (sigma=0.5),7,#E15759,0.0,0.0,0.0,0.24028969588139812,1.1564179120930491,18.357565242352567,0.0,-0.21065630660304255,251.0,0.9994003597804936,0.0,0.0,0.03884462151394422,0.9990084899923107,0.9999999999975238,1.0,0.9810756972111555,12.0,0.0,252.0
dueling_noisy_full_sigma05,Noisy Full (sigma=0.5),21,#E15759,0.0,0.0,0.0,0.17052917099796686,0.7708585380322132,12.23699992586437,0.0,-0.16739409387035656,187.5,0.749550269838097,0.0,0.0,0.004023587690495631,0.747011952191235,0.75,1.0,0.7470119521912352,12.0,0.0,252.0
dueling_noisy_full_sigma05,Noisy Full (sigma=0.5),42,#E15759,-25.100000374019146,-25.100000374019146,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
dueling_noisy_head_sigma01,Noisy Head (sigma=0.1),7,#B07AA1,-25.100000374019146,-25.100000374019146,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
dueling_noisy_head_sigma01,Noisy Head (sigma=0.1),21,#B07AA1,123.43333321685593,0.0,220.7316407877861,0.11091133907424083,0.5432396835194198,8.62366262936291,0.3333333333333333,-0.106289160631728,172.83333333333334,3.2280089777006467,0.0,0.3114209827357238,0.20484727755644092,0.44764156523072723,0.7488486037461829,1.0,0.3907702523240372,12.0,0.0,252.0
dueling_noisy_head_sigma01,Noisy Head (sigma=0.1),42,#B07AA1,0.0,0.0,0.0,0.033020654335385584,0.38316290619026094,6.08252256842521,0.0,-0.04189897926112595,57.833333333333336,0.2498500899460324,0.0,0.0,0.0014080582432176058,0.23041168658698538,0.24999999999999997,1.0,0.2304116865869854,12.0,0.0,252.0
dueling_noisy_head_sigma02,Noisy Head (sigma=0.2),7,#4E79A7,11.808333167806268,8.649999756366014,17.45949874344511,0.07268143014905121,0.2775803628994397,4.406451654401865,0.8333333333333334,-0.15128628051640824,21.909928415810768,19.669946840037777,0.0,0.47103659055176933,0.29886913045320035,0.44085280456644993,0.995740071342242,1.0,0.23339973439575035,12.0,0.0,252.0
dueling_noisy_head_sigma02,Noisy Head (sigma=0.2),21,#4E79A7,0.0,0.0,0.0,0.24036779798610555,1.1567034058225838,18.36209731480787,0.0,-0.21065630660734605,251.0,0.9994003597841296,0.0,0.0,0.027888446215139442,0.9993405686554842,1.0,1.0,0.9873837981407703,12.0,0.0,252.0
dueling_noisy_head_sigma02,Noisy Head (sigma=0.2),42,#4E79A7,-21.441666986172397,-23.000000342726707,4.00883578708769,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,252.0
