variant,label,seed,color,mean_reward_return,median_reward_return,std_reward_return,mean_return_rate,sharpe_ratio,annualized_sharpe_ratio,win_rate,max_drawdown,avg_holding_time_steps,turnover_ratio,blocked_trade_rate,invalid_sell_rate,executed_trade_rate,mean_position_ratio,max_position_ratio,mean_effective_max_exposure_ratio,exposure_cap_hit_rate,episodes,epsilon,periods_per_year
dueling_ddqn_raw,Dueling DDQN (raw),7,#59A14F,386.9999999962747,317.5,178.68689934890963,0.10370062140052028,0.6588407345734184,10.458772423682278,1.0,-0.1703927521022412,248.5,25.696870507347874,0.0,0.0099601593625498,0.7729083665338646,0.571316214781308,0.9999448758131175,1.0,0.23924302788844623,20.0,0.0,252.0
dueling_ddqn_raw,Dueling DDQN (raw),21,#59A14F,0.0,0.0,0.0,0.23265820051156189,0.8928968733042788,14.174298439141616,0.0,-0.21551184078646363,249.75,0.9994003597208669,0.0,0.0,0.13869726573159413,0.9910342457046045,0.9999999999530406,1.0,0.9173306772908365,20.0,0.0,252.0
dueling_ddqn_raw,Dueling DDQN (raw),42,#59A14F,424.0349998813123,497.89999989420176,248.4743796416079,0.026133522540791664,0.31804872813307283,5.048867036643018,0.85,-0.1023529083193381,154.41071428571428,16.10762203689919,0.0,0.31733067729083664,0.6077689243027888,0.1993987047788484,0.8889894247711613,1.0,0.03904382470119522,20.0,0.0,252.0
dueling_ddqn_returns_account,Dueling DDQN (returns + account),7,#8CD17D,1.75,0.0,5.3091901453988255,0.24279500897339434,0.9327164746616249,14.806415014125223,0.1,-0.2023085473486093,251.0,1.2573349922215677,0.0,0.0,0.5053571428571428,0.9403576042184563,1.0,1.0,0.9017928286852589,20.0,0.0,252.0
dueling_ddqn_returns_account,Dueling DDQN (returns + account),21,#8CD17D,-0.360000005364418,-0.30000000447034836,0.2653299871821569,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
dueling_ddqn_returns_account,Dueling DDQN (returns + account),42,#8CD17D,48.0,75.0,108.67842472174502,-0.0011999696888931044,-0.09794971048347381,-1.5549034495802876,0.8,-0.007101784026474401,251.0,0.998799669810453,0.0,0.0,0.13705179282868524,0.003985374531316093,0.49822858500323786,1.0,0.0,20.0,0.0,252.0
d3qn_per_nstep_raw,D3QN + PER + 3-step (raw),7,#E15759,0.0,0.0,0.0,0.23678080659317552,0.8524728628009561,13.532587166415688,0.0,-0.21621815251478668,250.0,0.9994003597317741,0.0,0.0,0.08420183619051125,0.9934743811561104,0.9999999999618611,1.0,0.9529880478087648,20.0,0.0,252.0
d3qn_per_nstep_raw,D3QN + PER + 3-step (raw),21,#E15759,0.0,0.0,0.0,0.15094800023814509,0.673375684929612,10.689507607449226,0.0,-0.2000045192587671,206.6,0.8994603237489981,0.0,0.0,0.10595443099403515,0.8173700755836688,0.8999999999579561,1.0,0.7649402390438247,20.0,0.0,252.0
d3qn_per_nstep_raw,D3QN + PER + 3-step (raw),42,#E15759,239.93499983884394,226.3999998345971,227.23102194279687,0.042806136351119184,0.7379283351669013,11.71424916143724,0.7,-0.054209355103809774,142.2,12.941819907026456,0.0,0.4353190946883464,0.3824427929923583,0.13165392426646566,0.6322099752074914,1.0,0.0856573705179283,20.0,0.0,252.0
d3qn_per_nstep_returns_account,D3QN + PER + 3-step (returns + account),7,#FF9D9A,0.0,0.0,0.0,-1.000088900582341e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,252.0
